"","id","mean.rpl","days.open"
"1",1,-0.25938899995069,190
"2",2,-0.223365811360219,190
"3",3,-0.204134038153038,190
"4",4,-0.190330318589296,190
"5",5,-0.17916384496383,190
"6",6,-0.169855673507987,191
"7",7,-0.162025178078977,191
"8",8,-0.155075371374322,191
"9",9,-0.148831596406727,191
"10",10,-0.143131695973895,191
"11",11,-0.13783125978634,192
"12",12,-0.132698569060889,192
"13",13,-0.127912056931251,192
"14",14,-0.123633701500085,192
"15",15,-0.119371475345212,192
"16",16,-0.115334852773757,193
"17",17,-0.111469784273512,193
"18",18,-0.107896292755272,193
"19",19,-0.104494488082992,193
"20",20,-0.101235897097343,193
"21",21,-0.0980120546068702,194
"22",22,-0.0948555035052104,194
"23",23,-0.0917543643508021,194
"24",24,-0.0887034189937483,194
"25",25,-0.0857865718961356,194
"26",26,-0.083016838405485,195
"27",27,-0.0802176256609209,195
"28",28,-0.0774796604436617,195
"29",29,-0.0748916136761756,195
"30",30,-0.0723076053798438,195
"31",31,-0.0697262612001735,196
"32",32,-0.0672539303913521,196
"33",33,-0.0647645416592738,196
"34",34,-0.0623404649398837,196
"35",35,-0.0598767170792579,196
"36",36,-0.0574924964527824,197
"37",37,-0.0551945494829101,197
"38",38,-0.0528340655728476,197
"39",39,-0.050481686694396,197
"40",40,-0.0482229230271383,197
"41",41,-0.0459642655832507,198
"42",42,-0.0437243095773364,198
"43",43,-0.0415102364822929,198
"44",44,-0.0394050381704581,198
"45",45,-0.0372873358815212,198
"46",46,-0.0351721747268437,199
"47",47,-0.0330534896160469,199
"48",48,-0.0309572919349535,199
"49",49,-0.0288392308752575,199
"50",50,-0.0267013329683948,199
"51",51,-0.0246173335678718,200
"52",52,-0.0225415853866185,200
"53",53,-0.0204348241681623,200
"54",54,-0.018393477088184,200
"55",55,-0.0162951121133251,200
"56",56,-0.0143158442397234,201
"57",57,-0.0122661749500351,201
"58",58,-0.0102510805838151,201
"59",59,-0.00820753130347615,201
"60",60,-0.00620499365776081,201
"61",61,-0.00418319371536767,202
"62",62,-0.00221762091112219,202
"63",63,-0.000237711827335189,202
"64",64,0.0017924032470413,202
"65",65,0.00384830020839596,202
"66",66,0.00584706056413307,203
"67",67,0.00781557031959574,203
"68",68,0.0097937093231258,203
"69",69,0.0118447620298525,203
"70",70,0.0138725471960623,203
"71",71,0.0158710922929479,204
"72",72,0.0178700800485238,204
"73",73,0.0198537981387155,204
"74",74,0.0218637899308088,204
"75",75,0.0239601869087831,204
"76",76,0.0260757642690873,205
"77",77,0.0281229681686564,205
"78",78,0.0301791730642167,205
"79",79,0.0322493626209874,205
"80",80,0.0343591962955865,205
"81",81,0.0364971996296581,206
"82",82,0.0387071307178777,206
"83",83,0.0408881466784252,206
"84",84,0.0430984840122907,206
"85",85,0.0452681542654233,206
"86",86,0.0475558953665707,207
"87",87,0.049873745908214,207
"88",88,0.0521548260652202,207
"89",89,0.0544614242954901,207
"90",90,0.0567896755874034,207
"91",91,0.0591532635317945,208
"92",92,0.0615260090977488,208
"93",93,0.0640070506169314,208
"94",94,0.0664256784343206,208
"95",95,0.0689532043925298,208
"96",96,0.0715588932164055,209
"97",97,0.0741904394267268,209
"98",98,0.0768775324585388,209
"99",99,0.0796049803885932,209
"100",100,0.0824539092593376,209
"101",101,0.0853226111179994,210
"102",102,0.0881617334607609,210
"103",103,0.0911465936963542,210
"104",104,0.0941841978551727,210
"105",105,0.0974079049556195,210
"106",106,0.100654675052605,211
"107",107,0.104032516135235,211
"108",108,0.107422636211271,211
"109",109,0.11112753584626,211
"110",110,0.114870062586869,211
"111",111,0.11880286212949,212
"112",112,0.122968223830511,212
"113",113,0.127340336040961,212
"114",114,0.132002574809058,212
"115",115,0.137002853813674,212
"116",116,0.142439704847566,213
"117",117,0.148311390628512,213
"118",118,0.154702864151511,213
"119",119,0.161418998317397,213
"120",120,0.169433948884911,213
"121",121,0.17844847723235,214
"122",122,0.189641480900573,214
"123",123,0.203801885694711,214
"124",124,0.22265226611549,214
"125",125,0.258644078773739,215
